2013-3-1 18:38:33: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 shell service call window 1 i32 8888 
2013-3-1 18:38:33: Result: Parcel(00000000 00000000   '........')
2013-3-1 18:38:33: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 forward tcp:4408  tcp:8888 
2013-3-1 18:38:33: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 forward tcp:2408  tcp:1324 
2013-3-1 18:38:33: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 shell am broadcast -a AgentServiceStart --ei port 1324 --ei width 960 --ei height 540 --ei delay 0 --ei bpp 2 
2013-3-1 18:38:34: Broadcasting: Intent { act=AgentServiceStart (has extras) }
2013-3-1 18:38:34: Broadcast completed: result=0
2013-3-1 18:38:34: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>pause
2013-3-1 18:38:34: Press any key to continue . . . 
2013-3-1 18:38:41: compile successfully, ready to run:
2013-3-1 18:38:41: ||| MESSAGE ||| BaseMo phone connecting.......
2013-3-1 18:39:05: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:39:06: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:39:08: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:39:10: ||| MESSAGE ||| ==== Count ==>1
2013-3-1 18:39:10: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:39:12: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:39:15: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:39:16: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:39:18: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:39:27: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:39:27: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:39:32: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:39:34: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:39:38: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:39:39: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:39:40: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:39:42: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:39:44: ||| MESSAGE ||| ==== Count ==>2
2013-3-1 18:39:44: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:39:46: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:39:49: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:39:50: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:39:52: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:40:01: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:40:01: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:40:06: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:40:08: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:40:12: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:40:13: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:40:14: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:40:16: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:40:18: ||| MESSAGE ||| ==== Count ==>3
2013-3-1 18:40:18: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:40:20: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:40:23: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:40:24: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:40:26: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:40:35: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:40:35: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:40:40: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:40:42: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:40:46: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:40:47: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:40:48: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:40:50: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:40:52: ||| MESSAGE ||| ==== Count ==>4
2013-3-1 18:40:52: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:40:54: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:40:57: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:40:58: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:41:00: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:41:09: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:41:09: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:41:14: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:41:16: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:41:20: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:41:22: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:41:22: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:41:24: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:41:26: ||| MESSAGE ||| ==== Count ==>5
2013-3-1 18:41:26: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:41:28: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:41:31: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:41:32: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:41:34: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:41:43: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:41:43: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:41:48: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:41:50: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:41:54: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:41:56: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:41:56: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:41:58: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:42:00: ||| MESSAGE ||| ==== Count ==>6
2013-3-1 18:42:00: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:42:03: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:42:06: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:42:06: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:42:08: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:42:17: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:42:17: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:42:22: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:42:24: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:42:28: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:42:30: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:42:30: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:42:32: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:42:34: ||| MESSAGE ||| ==== Count ==>7
2013-3-1 18:42:34: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:42:37: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:42:40: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:42:40: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:42:42: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:42:52: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:42:52: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:42:57: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:42:59: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:43:03: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:43:05: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:43:05: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:43:07: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:43:09: ||| MESSAGE ||| ==== Count ==>8
2013-3-1 18:43:09: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:43:11: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:43:14: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:43:15: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:43:17: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:43:26: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:43:26: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:43:31: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:43:33: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:43:37: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:43:39: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:43:39: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:43:42: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:43:44: ||| MESSAGE ||| ==== Count ==>9
2013-3-1 18:43:44: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:43:46: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:43:49: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:43:49: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:43:51: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:44:01: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:44:01: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:44:06: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:44:08: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:44:12: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:44:13: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:44:14: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:44:16: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:44:18: ||| MESSAGE ||| ==== Count ==>10
2013-3-1 18:44:18: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:44:20: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:44:23: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:44:24: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:44:26: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:44:36: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:44:36: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:44:41: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:44:43: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:44:47: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:44:48: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:44:49: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:44:51: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:44:53: ||| MESSAGE ||| ==== Count ==>11
2013-3-1 18:44:53: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:44:55: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:44:58: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:44:59: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:45:01: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:45:10: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:45:10: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:45:15: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:45:17: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:45:21: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:45:22: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:45:23: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:45:25: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:45:27: ||| MESSAGE ||| ==== Count ==>12
2013-3-1 18:45:27: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:45:29: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:45:32: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:45:33: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:45:35: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:45:44: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:45:44: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:45:49: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:45:51: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:45:55: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:45:56: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:45:57: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:45:59: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:46:01: ||| MESSAGE ||| ==== Count ==>13
2013-3-1 18:46:01: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:46:03: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:46:06: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:46:07: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:46:09: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:46:18: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:46:18: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:46:23: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:46:25: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:46:29: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:46:30: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:46:31: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:46:33: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:46:35: ||| MESSAGE ||| ==== Count ==>14
2013-3-1 18:46:35: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:46:37: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:46:40: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:46:41: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:46:43: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:46:52: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:46:52: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:46:57: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:46:59: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:47:03: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:47:05: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:47:05: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:47:07: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:47:09: ||| MESSAGE ||| ==== Count ==>15
2013-3-1 18:47:09: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:47:11: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:47:14: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:47:15: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:47:17: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:47:26: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:47:26: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:47:31: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:47:33: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:47:37: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:47:39: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:47:39: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:47:41: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:47:43: ||| MESSAGE ||| ==== Count ==>16
2013-3-1 18:47:43: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:47:46: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:47:49: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:47:49: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:47:51: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:48:00: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:48:00: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:48:05: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:48:07: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:48:11: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:48:13: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:48:13: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:48:16: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:48:18: ||| MESSAGE ||| ==== Count ==>17
2013-3-1 18:48:18: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:48:20: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:48:23: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:48:23: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:48:25: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:48:34: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:48:34: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:48:39: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:48:41: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:48:45: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:48:47: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:48:47: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:48:49: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:48:51: ||| MESSAGE ||| ==== Count ==>18
2013-3-1 18:48:51: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:48:54: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:48:57: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:48:57: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:48:59: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:49:08: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:49:08: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:49:13: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:49:16: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:49:20: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:49:21: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:49:22: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:49:24: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:49:26: ||| MESSAGE ||| ==== Count ==>19
2013-3-1 18:49:26: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:49:28: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:49:31: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:49:32: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:49:34: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:49:43: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:49:43: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:49:48: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:49:50: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:49:54: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:49:55: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:49:56: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:49:58: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:50:00: ||| MESSAGE ||| ==== Count ==>20
2013-3-1 18:50:00: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:50:02: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:50:05: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:50:06: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:50:08: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:50:17: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:50:17: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:50:22: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:50:24: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:50:28: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:50:29: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:50:30: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:50:32: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:50:34: ||| MESSAGE ||| ==== Count ==>21
2013-3-1 18:50:34: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:50:36: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:50:39: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:50:40: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:50:42: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:50:51: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:50:51: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:50:56: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:50:58: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:51:02: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:51:04: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:51:04: ||| MESSAGE ||| navigate_to(CallLog,Android);
2013-3-1 18:51:06: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:51:08: ||| MESSAGE ||| ==== Count ==>22
2013-3-1 18:51:08: ||| MESSAGE ||| Tap_AndroidStr(580-7887);
2013-3-1 18:51:10: ||| MESSAGE ||| Sleep(3000);
2013-3-1 18:51:13: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:51:14: ||| MESSAGE ||| Sleep(2000);
