2013-1-24 星期四 22:00:42: F:\EasyTest2.0.4.1zhaolei121\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s ? shell service call window 1 i32 8888 
2013-1-24 星期四 22:00:42: Result: Parcel(00000000 00000000   '........')
2013-1-24 星期四 22:00:42: F:\EasyTest2.0.4.1zhaolei121\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s ? forward tcp:4063  tcp:8888 
2013-1-24 星期四 22:00:42: F:\EasyTest2.0.4.1zhaolei121\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s ? forward tcp:2063  tcp:1324 
2013-1-24 星期四 22:00:42: F:\EasyTest2.0.4.1zhaolei121\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s ? shell am broadcast -a AgentServiceStart --ei port 1324 --ei width 320 --ei height 480 --ei delay 0 --ei bpp 2 
2013-1-24 星期四 22:00:43: Broadcasting: Intent { act=AgentServiceStart (has extras) }
2013-1-24 星期四 22:00:43: Broadcast completed: result=0
2013-1-24 星期四 22:00:44: F:\EasyTest2.0.4.1zhaolei121\EasyTest2.0.4.1\WinOutPut\Utility\adb>pause
2013-1-24 星期四 22:00:44: 请按任意键继续. . . 
2013-1-24 星期四 22:00:50: compile successfully, ready to run:
2013-1-24 星期四 22:00:50: ||| MESSAGE ||| BaseMo phone connecting.......
2013-1-24 星期四 22:02:07: ||| MESSAGE ||| Tap_AndroidStr(Data enabled);
2013-1-24 星期四 22:02:09: ||| MESSAGE ||| Sleep(2000);
2013-1-24 星期四 22:02:11: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-1-24 星期四 22:02:13: ||| MESSAGE ||| Sleep(1000);
2013-1-24 星期四 22:02:14: ||| MESSAGE ||| press_keys(<Home>);
2013-1-24 星期四 22:02:14: ||| MESSAGE ||| Sleep(1000);
2013-1-24 星期四 22:02:20: ||| MESSAGE ||| recordend();
2013-1-24 星期四 22:02:20: ||| MESSAGE ||| end of the video collection:
2013-1-24 星期四 22:02:20: ||| MESSAGE ||| DeviceClose();
2013-1-24 星期四 22:02:20: Run Success!
